date,subject_id,session_num,bad_channels,,,,,,
23/3/2026,P002,0,,,,,,,
24/3/2026,P077,0,,,,,,,
24/3/2026,P134,0,,,,,,,
25/3/2026,P189,0,"B25, B31, B32",,,,,,
25/3/2026,P213,0,"B25, B31",,,,,,
25/3/2026,P268,0,,,,,,,
25/3/2026,P303,0,B25,,,,,,
25/3/2026,P358,0,,,,,,,
25/3/2026,P482,0,B25,,,,,,
26/3/2026,P527,0,"B14, B30",,,,,,
26/3/2026,P594,0,,,,,,,
26/3/2026,P639,0,B17,,,,,,
27/3/2026,P662,0,,,,,,,
27/3/2026,P707,0,,,,,,,
27/3/2026,P729,0,B25,,,,,,
27/3/2026,P875,0,B25,,,,,,
31/3/2026,P943,0,,,,,,,
31/3/2026,P134,1,,,,,,,
1/4/2026,P482,1,,,,,,,
1/4/2026,P358,1,,,,,,,
1/4/2026,P268,1,,,,,,,
2/4/2026,P998,0,,,,,,,
2/4/2026,P213,1,,,,,,,
3/4/2026,P875,1,,,,,,,
3/4/2026,P729,1,B26,,,,,,
7/4/2026,P134,2,,,,,,,
8/4/2026,P268,2,,,,,,,
8/4/2026,P358,2,,,,,,,
8/4/2026,P482,2,,,,,,,
9/4/2026,P213,2,"B8, B25",,,,,,
9/4/2026,P998,1,,,,,,,
10/4/2026,P875,2,B25,,,,,,
10/4/2026,P729,2,,,,,,,
14/4/2026,P134,3,A30,,,,,,
15/4/2026,P268,3,,,,,,,
15/4/2026,P358,3,,,,,,,
15/4/2026,P482,3,,,,,,,
14/4/2026,P213,3,,,,,,,
14/4/2026,P998,2,,,,,,,
17/4/2026,P875,3,B25,,,,,,
17/4/2026,P729,3,"B25, B20",,,,,,
20/4/2026,P943,1,,,,,,,
20/4/2026,P527,1,,,,,,,
20/4/2026,P002,1,"B25, B26",,,,,,
22/4/2026,P189,1,,,,,,,
22/4/2026,P303,1,B25,,,,,,
22/4/2026,P268,4,B31,,,,,,
22/4/2026,P482,4,B25,,,,,,
22/4/2026,P358,4,B25,,,,,,
23/4/2026,P213,4,,,,,,,
23/4/2026,P998,3,,,,,,,
24/4/2026,P639,1,,,,,,,
24/4/2026,P875,4,"B25, B31",,,,,,
24/4/2026,P729,4,,,,,,,
27/4/2026,P943,2,B25,,,,,,
27/4/2026,P527,2,,,,,,,
27/4/2026,P002,2,B25,,,,,,
28/4/2026,P134,5,"B25, B31",,,,,,
28/4/2026,P077,1,"B25, B26, B31",,,,,,
29/4/2026,P662,1,"A30, A31",,,,,,
29/4/2026,P189,2,,,,,,,
29/4/2026,P268,5,B31,,,,,,
29/4/2026,P303,2,B25,,,,,,
29/4/2026,P482,5,B25,,,,,,
29/4/2026,P358,5,,,,,,,
30/4/2026,P998,4,B25,,,,,,
30/4/2026,P213,5,,,,,,,
1/5/2026,P707,1,,,,,,,
1/5/2026,P638,2,B25,,,,,,
1/5/2026,P594,1,B31,,,,,,
1/5/2026,P729,5,,,,,,,
1/5/2026,P875,5,B25,,,,,,
4/5/2026,P943,3,,,,,,,
4/5/2026,P527,3,,,,,,,
5/5/2026,P077,2,"B25, B31",,,,,,
6/5/2026,P189,3,"B25, B31, A26",,,,,,
7/5/2026,P662,2,,,,,,,
7/5/2026,P998,5,B25,,,,,,
8/5/2026,P707,2,"B25, B26",,,,,,
8/5/2026,P639,3,"B25, B31",,,,,,
8/5/2026,P303,3,"A31, B25",,,,,,
8/5/2026,P594,2,B31,,,,,,
11/5/2026,P943,4,,,,,,,
11/5/2026,P527,4,,,,,,,
11/5/2026,P002,4,"B25, A12",,,,,,
12/5/2026,P007,4,B31,,,,,,
13/5/2026,P189,4,"B31, B32",,,,,,
13/5/2026,P662,3,,,,,,,
15/5/2026,P639,4,"B25, B26, B31",,,,,,
15/5/2026,P707,3,"B30, B31",,,,,,
15/5/2026,P303,4,B25,,,,,,
15/5/2026,P594,3,,,,,,,
18/5/2026,P943,5,"B25, B26",,,,,,
18/5/2026,P002,5,A26,,,,,,
18/5/2026,P527,5,A31,,,,,,
19/5/2026,P077,4,B25,,,,,,
20/5/2026,P189,5,B25,,,,,,
20/5/2026,P662,4,B25,,,,,,
22/5/2026,P639,5,"B25, B26, B31",,,,,,
22/5/2026,P707,4,B25,,,,,,
22/5/2026,P303,5,,,,,,,
22/5/2026,P594,4,,,,,,,
26/5/2026,P077,5,,,,,,,
29/6/2026,P707,5,,,,,,,
29/6/2026,P662,5,,,,,,,
29/6/2026,P594,5,,,,,,,
