date,participant,session_num,bad_channels,,,,,,
2/4/2026,-,-,,,,,,,
--,--,0,,,,,,,
23/3/2026,002,0,,,,,,,
20/4/2026,002,1,"B25, B26",,,,,,
27/4/2026,002,2,B25,,,,,,
11/5/2026,002,4,"B25, A12",,,,,,
18/5/2026,002,5,A26,,,,,,
24/3/2026,077,0,,,,,,,
28/4/2026,077,1,"B25, B26, B31",,,,,,
5/5/2026,077,2,"B25, B31",,,,,,
12/5/2026,077,3,B31,,,,,,
19/5/2026,077,4,B25,,,,,,
26/5/2026,077,5,B31,,,,,,
24/3/2026,134,0,,,,,,,
31/3/2026,134,1,,,,,,,
7/4/2026,134,2,,,,,,,
14/4/2026,134,3,A30,,,,,,
28/4/2026,134,5,"B25, B31",,,,,,
25/3/2026,189,0,"B25, B31, B32",,,,,,
22/4/2026,189,1,,,,,,,
29/4/2026,189,2,,,,,,,
6/5/2026,189,3,"B25, B31, A26",,,,,,
13/5/2026,189,4,"B31, B32",,,,,,
20/5/2026,189,5,B25,,,,,,
25/3/2026,213,0,"B25, B31",,,,,,
2/4/2026,213,1,,,,,,,
9/4/2026,213,2,"B8, B25",,,,,,
14/4/2026,213,3,,,,,,,
23/4/2026,213,4,,,,,,,
30/4/2026,213,5,,,,,,,
25/3/2026,268,0,,,,,,,
1/4/2026,268,1,,,,,,,
8/4/2026,268,2,,,,,,,
15/4/2026,268,3,,,,,,,
22/4/2026,268,4,B31,,,,,,
29/4/2026,268,5,B31,,,,,,
25/3/2026,303,0,B25,,,,,,
22/4/2026,303,1,B25,,,,,,
29/4/2026,303,2,B25,,,,,,
8/5/2026,303,3,"A31, B25",,,,,,
15/5/2026,303,4,B25,,,,,,
22/5/2026,303,5,,,,,,,
25/3/2026,358,0,,,,,,,
1/4/2026,358,1,,,,,,,
8/4/2026,358,2,,,,,,,
15/4/2026,358,3,,,,,,,
22/4/2026,358,4,B25,,,,,,
29/4/2026,358,5,,,,,,,
25/3/2026,482,0,B25,,,,,,
1/4/2026,482,1,,,,,,,
8/4/2026,482,2,,,,,,,
15/4/2026,482,3,,,,,,,
22/4/2026,482,4,B25,,,,,,
29/4/2026,482,5,B25,,,,,,
26/3/2026,527,0,"B14, B30",,,,,,
20/4/2026,527,1,,,,,,,
27/4/2026,527,2,,,,,,,
4/5/2026,527,3,,,,,,,
11/5/2026,527,4,,,,,,,
18/5/2026,527,5,A31,,,,,,
26/3/2026,594,0,,,,,,,
1/5/2026,594,1,B31,,,,,,
8/5/2026,594,2,B31,,,,,,
15/5/2026,594,3,,,,,,,
22/5/2026,594,4,,,,,,,
29/5/2026,594,5,B25,,,,,,
26/3/2026,639,0,B17,,,,,,
24/4/2026,639,1,,,,,,,
1/5/2026,639,2,B25,,,,,,
8/5/2026,639,3,"B25, B31",,,,,,
15/5/2026,639,4,"B25, B26, B31",,,,,,
22/5/2026,639,5,"B25, B26, B31",,,,,,
27/3/2026,662,0,,,,,,,
29/4/2026,662,1,"A30, A31",,,,,,
7/5/2026,662,2,,,,,,,
13/5/2026,662,3,,,,,,,
20/5/2026,662,4,B25,,,,,,
29/5/2026,662,5,"B25, B26, B31",,,,,,
27/3/2026,707,0,,,,,,,
1/5/2026,707,1,,,,,,,
8/5/2026,707,2,"B25, B26",,,,,,
15/5/2026,707,3,"B30, B31",,,,,,
22/5/2026,707,4,B25,,,,,,
29/5/2026,707,5,"B25, B31",,,,,,
27/3/2026,729,0,B25,,,,,,
3/4/2026,729,1,B26,,,,,,
10/4/2026,729,2,,,,,,,
17/4/2026,729,3,"B25, B20",,,,,,
24/4/2026,729,4,,,,,,,
1/5/2026,729,5,,,,,,,
27/3/2026,875,0,B25,,,,,,
3/4/2026,875,1,,,,,,,
10/4/2026,875,2,B25,,,,,,
17/4/2026,875,3,B25,,,,,,
24/4/2026,875,4,"B25, B31",,,,,,
1/5/2026,875,5,B25,,,,,,
31/3/2026,943,0,,,,,,,
20/4/2026,943,1,,,,,,,
27/4/2026,943,2,B25,,,,,,
4/5/2026,943,3,,,,,,,
11/5/2026,943,4,,,,,,,
18/5/2026,943,5,"B25, B26",,,,,,
2/4/2026,998,0,,,,,,,
9/4/2026,998,1,,,,,,,
14/4/2026,998,2,,,,,,,
23/4/2026,998,3,,,,,,,
30/4/2026,998,4,B25,,,,,,
7/5/2026,998,5,B25,,,,,,
